Remove_noise,nilai,sentimen
saya sudah menghubungi dokter terkait tapi tidak direspon saya coba chat ulang tapi tidak bisa dan harus bayar lagi sedangkan chat saya yang tadi saja belum diterima sama dokter terus kalau seperti begini apakah bisa refund,-23,negatif
aplikasi bagus yang sangat membantu,0,netral
berguna sekali aplikasinya untuk konsultasi dokter,7,positif
fast respon dak tidak bertele tele,-3,negatif
sangat membantu sekali jika keadan darurat memerlukan obat terutama obat anak dan manula,2,netral
membantu tapi selalu update melulu tapi gp saya sudah di bantu trimakasih halodoc,8,positif
sangat berguna sekali aplikasi ini apalagi daerah yang tidak mempunyai dokter spesialis dokternya juga ramah terimakasih halodoc,11,positif
terimakasih halodoc aplikasi yang sangat membantu,3,netral
overal cukup baik hanya saja penitikan lokasinya kadang tidak akurat mohon kedepan diperbaiki lagi terima kasih,-7,negatif
sudah bayar untuk konsultasi dokter belum tersambung dan belum chat untuk konsultasi tapi saldo sudah lenyap chat ulang dokter telah selesai bertugas kecewa,18,positif
bagus pengiriman lumayan cepat sekitar sampai paling lama cuma kalau visa sistem pembayaran visa pakai cash on delivery di rumah juga ongkos kirim jangan mahal mahal,-3,negatif
sangat membantu dalam hal konsultasi dokter ramah dan sopan santun,22,positif
kecewa sekali saya pertama kali mencoba untuk konsultasi saya sudah bayar tapi konsultasi tiba terhenti entah kenapa mungkin jaringan mungkin apa saya tidak paham saya terbuang percuma,-13,negatif
keren dan sangat membantu,7,positif
mantap bisa pakai asuransi,5,positif
bertanya di halodoc ini bayar tidak,-2,netral
saya daftar ini apk karena ada sales yang datang buat nawarin daftar dan saya dong soalnya sales saya itu teman saya sendiri sampai di minta data diri sampai rekening juga di data dan saya percaya saja orang itu teman saya tahu apk tidak ke pakai tiap bulan ke potong di rekening adeh kalau buat saya selaku anak rantau bisa buat makan hari ini kepotong terusan bagaimana cara berhentinya,-41,negatif
ingin tanya knapa saya tidak bisa memilih toko kesehatan untuk membeli obat selalu jawabanya tidak tersedia di wilayah anda padahal saya sering beli obat di halodoc,-10,negatif
sangat membantu disat waktu emergency,7,positif
keren habis apk untuk yang minim uang bisa banget pakai apk ini sangat membantu kalian cukup mengeluarkan biaya yang kecil dibandingkan kalian harus ke spesialisnya langsung terimakasih halo doc semoga kedepanya semakin maju,-2,netral
sangat membantu disat terdesak,3,netral
pengiriman sangat cepat proses pemesanan obat mudah,3,netral
tidak bisa di download,-5,negatif
saya sudah lama pesen obat ke halodoc tapi tidak ada datang datang tidak banyak tapi itu uang juga,-20,negatif
bagus harap perluas jangkauan sampai ke daerah jika memungkinkan,7,positif
konsultasi dengan dokter penjelasanya bagus,5,positif
mantap sangat membantu dan customer servis sigap dalam menghadapi,22,positif
mantap banget aplikasinya sangat berguna,14,positif
bagus banget pelayananya cepat,6,positif
sat urgent cari dimana tidak ada obatnya bersyukur sekali ada apa ini,1,netral
sangat membantu dokternya responsive,7,positif
dokternya ramah dan cantik juga ganteng,11,positif
cara tepat dan cepat untuk pesan obat,2,netral
respon sangat baik dan ini aplikasi yang sangat membantu,6,positif
sangat membantu untuk pengobatan di desa karena untuk ke dokter harus antre lama sekali dan harus berangkat pagi sekali kalau disini tingal beli resep obat dari dokter,-17,negatif
metode pembayaranya ribet tidak ada bri sekali pakai gopay verifikasi kode otp susahnya minta ampun sudah verifikasi kode otp setelah puluhan kali suruh masukan pin gojek pin gojek lupa ribet memang aplikasi ribet bayar saja kayak orang ngemis susahnya metode pembayaran semua bank menyusahkan,-36,negatif
jawaban dokter cukup memuaskan,3,netral
sangat membantu dalam keadan darurat,11,positif
sangat mempermudah dan sangat membantu,7,positif
belum nyambung dokter tapi sudah kepotong biaya konsultasi sangat mengecewakan layanan sangat buruk rugi saya,-1,netral
mohon untuk di akurasikan gpsnya untuk memudahkan mengantarkan barangnya kalau bisa akurasikan juga mencari apotik yang terdekat,-3,negatif
tidak ada tombol pembatalan chat bantuan sangat tidak membantu,1,netral
sangat membantu dan profesional terimakasih para dokter yang siaga membantu konsultasi para pasien,18,positif
lumayan tapi kalau dokter tiba tiba tolak pasien tolong uangnya dikembalikan pada hari yang sama sudah tertulis tersedia berarti bukan tangung jawab pasien kalau chat tidak berlangsung diedit sekarang ada paket dokter hebat semakin hari makin hebat,15,positif
aplikasinya mudah di pahami dokternya ramah ramah dan sangat membantu,21,positif
pertama pakai aplikasi ini enak lama seperti aplikasi online pengantaran lainya nungu lama terlanjur orangnya mati kalau pesan obat pakai halodoc,-9,negatif
saya sudah dua kali transaksi masih tidak bisa chat dokter padahal saya sudah bayar dua kali kecewa banget begini padahal saya konsul sama dokter plis masa seperti begini,1,netral
praktis dan sangat membantu,11,positif
suka dengan aplikasi ini,-1,netral
sangat membantu di sat kondisi yang serba memungkinkan untuk ke dokter,2,netral
pertama mengunakan halodoc sangat membantu tentang keluhan saya apalagi konsul dengan dokter yang selalu siap walaupun tengah malam terima kasih halodoc,3,netral
saya ada keluhan karena saya penguna baru dan saya ingin mencoba chat dokter spesialis kandungan pembayaran berhasil dan sat chat dokter muncul notif eror loading mesage terus dan tidak jadi konsultasi apa uang yang saya bayar bisa kembali terimakasih,-7,negatif
sangat ramah dokternya dan fast respon,10,positif
membantu banget aplikasi ini,1,netral
sangat cepat tangap dan langsung,9,positif
sangat bagus dan sangat berguna,13,positif
memudahkan pelayanan kesehatan,6,positif
blom lama di perbarui minta di di perbarui lagi,-5,negatif
konsultasi enak dan lgs dapat beli obat,9,positif
saya top up tapi saldo tidak masuk mksdnya bagaimana,-4,negatif
layanan cepat dan tangap tingkatkan lagi terimakasih,8,positif
respon baik semoga lebih bermanfat lagi aplikasi ini untuk semua rakyat indonesia,-2,netral
apotik yang bekerjasama dengan halodic masih minim,-8,negatif
baru pertama pakai bagus seperti konsultasi dokter klinik,4,positif
sudah bayar chat dibatalin sama dokternya uangnya juga tidak balik padahal lagi butuh banget buat konsul,-4,negatif
terima kasih halodoc dapat dokter baik sekali sehinga saya bisa menemukan solusi buat mengatasi masalah saya,4,positif
sangat membantu untuk kondisi pandemic sat ini,7,positif
mantap dokternya juga baik saya sudah sakit ambeien sembuh sakit telnga sembuh membantu banget kalau lagi tidak keluar dan uang lagi tipis terima kasih halodoc,0,netral
sangat membantu seputar konsultasi kesehatan terima kasih,14,positif
membantu disat urgent sat dokter lokal hanya bisa janji temu alodoc sangat membantu,10,positif
sangat membantu sat tidak bisa kemana mana,2,netral
dokter online kalau konsultasi bayar dulu begitu di bayar tiba tiba di batalkan dengan alasan dokter sibuk coba lagi yang kedua kali bayar lagi begitu juga dokter sibuk saldo habis walaupun dana di kembalikan ini sama saja seperti perampokan,15,positif
balas chatnya lama balasanya cuma beberapa kata saja sampai akhir sesi tetep tidak ada balasan kecewa sekali padahal pertama kali saya konsul disini,-11,negatif
sangat membantu orang yang kurang waktu untuk ke rumah sakit terimakasih halodoc,2,netral
maf saya kasih jelek jadi saya mendaftar vaksinasi melalui aplikasi ini untuk tangal april di uki dan saya melakukan vaksinasi pada tangal itu tapi anehnya statusnya janjian dibatalkan dan sertifikat saya sampai sekarang tangal april belum keluar saya sudah hubungi pihak kemenkes katanya data saya belum di input lalu saya coba email halodoc juga belum respon padahal saya butuh sertifikat itu untuk keluar kota tangal april sangat mengecewakan,-35,negatif
pelayananya baik,3,netral
sangat memuaskan,8,positif
sangat membantu sekali pembayaran juga mudah terimakasih sudah menciptakan halodoc,18,positif
sangat membantu di era pandemi ini,2,netral
maf izin bertanya kenapa tidak bisa batalkan jadwal saya tanpa sengaja salah pilih konsultasi jadi saya batalkan tapi kenapa bahkan bilang ada eror padahal jaringan saya baik saja,-17,negatif
dokternya ramah sekali layanan bagus,9,positif
sangat membantu bisa konsultasi langsung dengan dokter spesialis,17,positif
bagus banget pengiriman cepat parah,-4,negatif
saya mohon kenapa aplikasi ini tidak jelas bisa tolong karena ini keadan darurat,-8,negatif
cepat tangap cuma aplikasinya berbayar,-3,negatif
konsultasi dengan doktwr spesialis penyakit dalam sangat membantu dan detail sekali kali ini terbantu dengan dari yosa tamia marisya terimakasih sekali sehat selalu,18,positif
terimakasih dengan pelayanan dokter spesialis yang fast respon,9,positif
aplikasinya bagus sangat membantu dan dokternya detail jika kita konsultasi trimakasih,18,positif
halodoc sangat membantu biar tidak ketemu dokternya langsung obat yang di berikan cukup ampuh terima kasih halodoc,-2,netral
sangat membantu dibidang kesehatan,7,positif
sangat membantu disini apotek susah banget dengan ada halodoc sangat membantu dan pelayanan dokter juga dangat cepat maksih bnyak,22,positif
sangat baik baik dokternya,9,positif
terima kasih halodoc dari sely atas konsultasinya dan pengirim obat atas kebaikan dan jasa baik ibu dokter salam sehat selalu saya sangat puas dengan pelayanan anda,11,positif
saya daftar lalu verifikasi mengunakan nomor telepon jepang tapi sms tidak kunjung masuk kalau tidak bisa kenapa ada pilihan nomor lain,-5,negatif
dokternya ramah dan mudahan resepnya sesuai,9,positif
aplikasinya memang cukup bagus membantu banyak dokter berpengalaman juga tapi maf saran saja untuk status pengiriman obat lebih diperjelas lagi apalagi kalau di pengiriman ada kendala seperti on hold lebih baik diberi penjelasan alasanya apa agar kita juga tidak bingung terima kasih,-2,netral
dokter baik solusinya cepat,9,positif
aku suka pakai halodoc karena dokter dan spesialis lebih mendengarkan dahulu curahan hati pasien sementara,7,positif
dokter sangat ramah aplikasi sangat membantu,11,positif
sangat mudah berguna dan lebih praktis ongkirnya diskon dong,19,positif
sangat membantu dikala takut pergi dokter,9,positif
penjelasanya bagus dokternya fast respon top,9,positif
aplikasi yang memudahkan konsultasi dengan dokter tidak perlu antri harga ramah kantong,3,netral
selamat malam halodoc anda bisa ngelayani tidak jadi begini saya sudah bayar di dokter nah itu tiba di batalkan sedangkan saya belum chat di dokter itu setan bisa dibatalkan sdngkan saya sudah bayar dokter kecewa saya ada apk ini,-6,negatif
recomended banget kalau beli kebutuhan kesehatan atau obat obatan beli disini saja pengiriman cepat aplikasinya terpercaya,0,netral
penjelasan dan tipsnya jelas ini mempraktekan dulu tips mingu lagi konsultasi,8,positif
tidak perlu keluar rumah untuk beli obat,-4,negatif
mantap sukses semuanya,5,positif
saya kira chet dokter gratis harus bayar,-1,netral
refund transaksi gagal susahnya setengah mati diminta macam oleh nama yuni tapi sampai sekarang uang saya belum kembali,-3,negatif
bagus banget buat yang tidak ingin antri ke dokter,-6,negatif
aplikasiny sangt berguna,5,positif
beru pertama coba semoga bisa sembuh,8,positif
membantu sekali ketika kebingungan dalam kesehatan,3,netral
respon cepat dan mudah pengoperasianya,9,positif
sangat membantu sekali dalam kondisi begini terimakasih halodoc tanya kalau kasih tips ke kurir bagaimana caranya,20,positif
saya pernah konsultasi ke dokter kandungan namun di cancel karena alasan sibuknya dokter namun bukan pasal respon dokter yang saya komplain tapi saldo pembayaran saya tidak dikembalikan pihak halodoc,-25,negatif
aplikasi yang sangat membantu disat genting terimakasih halodoc,3,netral
bayar saja susah virtual akun untuk bri tidak ada sementara kita punya cuma brimo,-10,negatif
alhamdulilah aplikasi halodoc membantu sekali semoga bisa lebih meningkat lagi kedepanya,2,netral
awal pakai aplikasi ini sangat terbantu sekali tapi makin kesini bahkan makin lambat dan lagi kemarin pakai asuransi untuk chekout obat tidak bisa dipake asuransinya bahkan balik lagi ke chat dokter coba tolong diperbaiki dulu bintangnya kalau sudah ada perbaikan nanti dinaikin,3,netral
tadi aplikasi ini sangat membantu tapi sekarang beli obat mag saja harus konsultasi dulu sudah pencet untuk konsultasi dokter sibuk tidak bisa jawab konsultasi akhirnya bahkan tidak bisa beli obat padahal kebutuhan mendesak,0,netral
sangat dibutuhkan ketika mendesak sakit dan tidak bisa keluar rumah,-11,negatif
sekarang berobat sangat mudah tidak sempat ke rumah sakit bisa dari rumah terima kasih aplikasi halodoc,0,netral
mempermudah dalam kolsultasi dan pembelian product obatan semoga ditingatkan terus pelayananya sukses terus halodoc amin,8,positif
sangat membantu pilihan dokternya banyak penjelasan dokternya juga baik untuk diagnosa keluhan pemberian obat,17,positif
alhamdulilah tidak perlu jauh dan mengantri untuk konsul ke dari,-7,negatif
dokternya baik perhatian dan tangap,7,positif
pelayanan cepat dan informasi yang diberikan sangat detail,8,positif
sangat puas sekali,5,positif
aplikasi ini sudah tidak ada guna semua obat harus melalui resep dokter lebih baik di hapus saja aplikasi seperti ini,-13,negatif
mantap sangat memudahkan dalam berkonsultasi terimakasih dari seso,16,positif
saya vaksin ke tiga tapi kenapa tidak ada pengarahan pendaftaranya cuma ada pilihan telepon saja jadi sebenarnya guna tidak,3,netral
sangat membantu sekali tidak perlu antri ke rumah sakit untuk konsultasi biaya juga tergolong tidak mahal,-3,negatif
praktis banget janji temu dokter membeli obat sampai vaksim covid terima kasih halodoc,10,positif
sangat mudah dalam segalanya semoga aplikasi semakin berkembang,10,positif
seneng banget sama respon refund ketika pasien sedang ada kendala semoga dipertahankan dan semakin baik untuk kedepanya,22,positif
haladoc solusi tepat nengenai kesehatan penyakit serta obat yang mudah dicari langsung konsultasi dengan dari halkdoc ternama di indonesia,0,netral
kembalikan uang saya saya sudah melakukan pembayaran tapi belum ada dana belum masuk,2,netral
bagus sangat bermanfat,5,positif
cepat layanan,6,positif
sangat membantu sekali apalagi sat tengah malam anak sakit,-1,netral
